ccode,year,cabbr,count,latitude,longitude,literacy,refugees,lnRefs,lnGDP,lnTrade,PolityLag
471,1999,CMR,0,5.680263996,12.92409039,70,49200,10.80364895,7.495557785,3.654978275,-4
471,2000,,0,5.680263996,12.92409039,69,43700,10.68510342,7.513118744,3.759210825,-4
471,2001,CMR,0,5.680263996,12.92409039,68,41200,10.626194,7.533637524,3.809642553,-4
471,2002,,0,5.680263996,12.92409039,67,58300,10.9733572,7.549378872,3.705002069,-4
471,2003,,0,5.680263996,12.92409039,66,58600,10.97848988,7.565623283,3.692618847,-4
471,2004,,0,5.680263996,12.92409039,65,58861,10.982934,7.579285622,3.669476271,-4
471,2005,,0,5.680263996,12.92409039,64,52042,10.85980606,7.580078602,3.735890627,-4
471,2006,,0,5.680263996,12.92409039,63,,,7.590687752,3.783220768,-4
471,2007,,0,5.680263996,12.92409039,62,,,7.603642941,3.770236254,-4
475,1995,,0,9.584547997,8.283735275,55,8100,8.999619484,7.267936707,4.459822655,
475,1996,,0,9.584547997,8.283735275,57,8500,9.047821045,7.282269955,4.325321674,-6
475,1997,NGA,0,9.584547997,8.283735275,59,9100,9.116029739,7.281512737,4.41524744,-6
475,1998,,0,9.584547997,8.283735275,61,6800,8.824677467,7.273114204,4.270983696,-6
475,1999,NGA,0,9.584547997,8.283735275,63,6900,8.839276314,7.257426262,4.357096195,-1
475,2000,,0,9.584547997,8.283735275,64,7300,8.895629883,7.283782959,4.4544034,4
475,2001,NGA,0,9.584547997,8.283735275,65,7200,8.881835938,7.288473129,4.3212533,4
475,2002,,0,9.584547997,8.283735275,66,7400,8.909235001,7.278415203,4.165438175,4
475,2003,,0,9.584547997,8.283735275,67,9200,9.126958847,7.351460934,4.420557976,4
475,2004,,2,9.584547997,8.283735275,68,8395,9.035391808,7.427697659,4.317605495,4
475,2005,,0,9.584547997,8.283735275,69,9109,9.117017746,7.456269264,4.351362705,4
475,2006,,0,9.584547997,8.283735275,70,,,7.49290514,4.26873064,4
475,2007,,0,9.584547997,8.283735275,71,,,7.531844616,4.232774734,4
481,1995,,0,-0.650479019,11.99440956,63,800,6.684611797,9.635649681,4.55529356,
481,1996,,0,-0.650479019,11.99440956,63,800,6.684611797,9.6463871,4.56091404,-4
481,1997,GAB,0,-0.650479019,11.99440956,63,900,6.802394867,9.678461075,4.590424538,-4
481,1998,,0,-0.650479019,11.99440956,63,1100,7.003065586,9.690069199,4.564085484,-4
